code,market,cn_name,revenue_growth,revenue_conf,net_profit,net_conf,ocf_change,ocf_conf,core_driver,driver_conf,core_risk,risk_conf,overall_conf,file
000029,SZ,深深房Ａ,,missing,盈,low,,missing,深房光明里项目集中交付结转,high,[深房光明里项目集中交付结转],mid,missing,000029_SZ_深深房Ａ.md
000030,SZ,富奥股份,+5.72%,high,,missing,,missing,,missing,核心风险在于对一汽集团的深度依赖与汽车行业“内卷”加剧的双重,high,missing,000030_SZ_富奥股份.md
000031,SZ,大悦城,-18.0%,mid,,missing,-54.32%,high,行业下行与结算规模收缩,high,[行业下行与结算规模收缩],mid,missing,000031_SZ_大悦城.md
000034,SZ,神州数码,+62.4%,mid,-30.5%,high,↓,low,AI算力需求爆发,high,[AI算力需求爆发],mid,low,000034_SZ_神州数码.md
000037,SZ,深南电A,+44.0%,mid,+635.0%,high,,missing,子公司土地收储确认收益,high,[子公司土地收储确认收益],mid,missing,000037_SZ_深南电A.md
000039,SZ,中集集团,-30.86%,high,+371.79%,high,,missing,全球集装箱需求高基数回落,high,[全球集装箱需求高基数回落],mid,missing,000039_SZ_中集集团.md
000042,SZ,中洲控股,-39.99%,high,,missing,↑,low,行业深度调整与销售萎缩,high,[行业深度调整与销售萎缩],mid,missing,000042_SZ_中洲控股.md
000048,SZ,京基智农,,missing,-78.59%,high,,missing,,missing,生猪价格大幅下跌** ->,mid,missing,000048_SZ_京基智农.md
000049,SZ,德赛电池,+7.38%,high,-29.23%,high,,missing,,missing,行业锂电池总出货量高增长,mid,missing,000049_SZ_德赛电池.md
000050,SZ,深天马Ａ,+18.0%,high,盈,low,,missing,,missing,公司坚持“2+1+N”战略，核心业务为车载显示和手机显示,mid,missing,000050_SZ_深天马Ａ.md
000055,SZ,方大集团,+32.32%,mid,亏,low,,missing,投资性房地产公允价值变动,high,[投资性房地产公允价值变动],mid,missing,000055_SZ_方大集团.md
000056,SZ,_ST皇庭,,missing,盈,low,,missing,核心资产皇庭广场被司法裁定以物抵债,high,[核心资产皇庭广场被司法裁定以物抵债],mid,missing,000056_SZ__ST皇庭.md
000058,SZ,深_赛_格,-4.5%,high,+53.51%,high,,missing,出售华控赛格股票,high,[出售华控赛格股票],mid,missing,000058_SZ_深_赛_格.md
000059,SZ,华锦股份,,missing,,missing,,missing,石化行业周期底部，产品价格承压,high,[石化行业周期底部，产品价格承压],mid,missing,000059_SZ_华锦股份.md
000065,SZ,北方国际,+14.93%,mid,,missing,+60.53%,high,焦煤价格下跌与销量萎缩,high,[焦煤价格下跌与销量萎缩],mid,missing,000065_SZ_北方国际.md
000068,SZ,华控赛格,-24.69%,high,亏,low,+45.32%,high,贸易业务规模主动压降,high,[贸易业务规模主动压降],mid,low,000068_SZ_华控赛格.md
000069,SZ,华侨城Ａ,-42.32%,high,,missing,↑,low,房地产行业下行与主动去化,high,[房地产行业下行与主动去化],mid,missing,000069_SZ_华侨城Ａ.md
000070,SZ,特发信息,+20.17%,mid,,missing,,missing,AI算力需求爆发,high,[AI算力需求爆发],mid,missing,000070_SZ_特发信息.md
000088,SZ,盐_田_港,+25.54%,mid,,missing,,missing,参股盐田国际及西港区码头吞吐量上涨,high,[参股盐田国际及西港区码头吞吐量上涨],mid,missing,000088_SZ_盐_田_港.md
000089,SZ,深圳机场,+22.4%,mid,,missing,,missing,国际及地区旅客量高增,high,[国际及地区旅客量高增],mid,missing,000089_SZ_深圳机场.md
000090,SZ,天健集团,+5.36%,high,-63.99%,high,,missing,地产项目竣工结转,high,[地产项目竣工结转],mid,missing,000090_SZ_天健集团.md
000099,SZ,中信海直,,missing,,missing,+140.32%,high,,missing,,missing,missing,000099_SZ_中信海直.md
000100,SZ,TCL科技,+22.57%,high,+188.8%,high,,missing,半导体显示行业供需格局改善,high,[半导体显示行业供需格局改善],mid,missing,000100_SZ_TCL科技.md
000151,SZ,中成股份,+33.48%,mid,盈,low,,missing,土地收储收益,high,[核心业务收入结构变化],mid,missing,000151_SZ_中成股份.md
000155,SZ,川能动力,+197.0%,mid,+197.0%,high,,missing,风电光伏发电量下降,high,[风电光伏发电量下降],mid,missing,000155_SZ_川能动力.md
000156,SZ,华数传媒,+1.02%,mid,-19.08%,high,,missing,,missing,[IPTV/OTT/短视频冲击传统有线电视],mid,missing,000156_SZ_华数传媒.md
000157,SZ,中联重科,+30.52%,mid,,missing,+127.53%,high,海外直销体系深化,high,[海外直销体系深化],mid,missing,000157_SZ_中联重科.md
000158,SZ,常山北明,+32.0%,mid,盈,low,,missing,置出亏损纺织业务,high,[置出亏损纺织业务],high,missing,000158_SZ_常山北明.md
000159,SZ,国际实业,+4.98%,mid,,missing,,missing,,missing,,missing,missing,000159_SZ_国际实业.md
000166,SZ,申万宏源,+30.02%,high,,missing,,missing,2025年A股市场交投活跃、指数大幅上涨,high,[2025年A股市场交投活跃、指数大幅上涨],mid,missing,000166_SZ_申万宏源.md
000333,SZ,美的集团,+16.0%,mid,,missing,,missing,海外OBM优先战略,high,[海外OBM优先战略],mid,missing,000333_SZ_美的集团.md
000338,SZ,潍柴动力,+160.0%,mid,,missing,,missing,重卡市场复苏 + 陕重汽份额提升,high,[重卡市场复苏 + 陕重汽份额提升],mid,missing,000338_SZ_潍柴动力.md
000400,SZ,许继电气,+68.37%,mid,,missing,↑,low,营收结构优化，高毛利业务占比提升,high,[营收结构优化，高毛利业务占比提升],mid,missing,000400_SZ_许继电气.md
000401,SZ,金隅冀东,,missing,盈,low,,missing,,missing,成本管控与燃料替代** ->,mid,missing,000401_SZ_金隅冀东.md
000404,SZ,长虹华意,+57.93%,high,+9.9%,high,,missing,产品结构向商用/变频高端化升级,high,[产品结构向商用/变频高端化升级],mid,missing,000404_SZ_长虹华意.md
000407,SZ,胜利股份,,missing,+32.87%,high,,missing,成本费用精准管控,high,[成本费用精准管控],mid,missing,000407_SZ_胜利股份.md
000408,SZ,藏格矿业,+33.42%,mid,+49.32%,high,,missing,紫金矿业入主赋能,high,[紫金矿业入主赋能],mid,missing,000408_SZ_藏格矿业.md
000409,SZ,云鼎科技,+59.69%,mid,-11.15%,high,,missing,背靠山能集团，关联交易占比高,high,[背靠山能集团，关联交易占比高],mid,missing,000409_SZ_云鼎科技.md
000411,SZ,英特集团,+13.61%,mid,,missing,-13.3%,high,药品集采常态化与医保控费,high,[药品集采常态化与医保控费],mid,missing,000411_SZ_英特集团.md
000417,SZ,合百集团,,missing,-15.93%,high,↓,low,,missing,[主业承压叠加非经常性损益退潮],mid,missing,000417_SZ_合百集团.md
000419,SZ,通程控股,,missing,+8.33%,high,-59.38%,high,消费降级与渠道分流,high,[消费降级与渠道分流],mid,missing,000419_SZ_通程控股.md
000421,SZ,南京公用,+15.38%,mid,,missing,,missing,,missing,,missing,missing,000421_SZ_南京公用.md
000422,SZ,湖北宜化,,missing,-24.25%,high,,missing,重大资产重组完成，新疆宜化并表,high,[重大资产重组完成，新疆宜化并表],mid,missing,000422_SZ_湖北宜化.md
000423,SZ,东阿阿胶,+56.8%,mid,,missing,,missing,品牌溢价与提价能力,high,[品牌溢价与提价能力],mid,missing,000423_SZ_东阿阿胶.md
000426,SZ,兴业银锡,+30.09%,mid,,missing,,missing,,missing,银漫矿业技术攻关提高锡回收率,mid,missing,000426_SZ_兴业银锡.md
000429,SZ,粤高速Ａ,,missing,+15.31%,high,,missing,核心路产改扩建与路网分流,high,[核心路产改扩建与路网分流],mid,missing,000429_SZ_粤高速Ａ.md
000430,SZ,ST张家界,+45.39%,mid,-20.58%,high,,missing,司法重整完成,high,[大庸古城巨额减值],high,missing,000430_SZ_ST张家界.md
000488,SZ,ST晨鸣,,missing,,missing,,missing,生产基地大面积停产,high,[生产基地大面积停产],mid,missing,000488_SZ_ST晨鸣.md
000498,SZ,山东路桥,+40.95%,mid,,missing,↑,low,地方化债导致项目开工不足,high,[地方化债导致项目开工不足],mid,missing,000498_SZ_山东路桥.md
000501,SZ,武商集团,-9.31%,high,-163.0%,mid,,missing,消费降级与行业内卷,high,[消费降级与行业内卷],mid,missing,000501_SZ_武商集团.md
000505,SZ,京粮控股,,missing,,missing,,missing,原材料价格波动与套保失效,high,[原材料价格波动与套保失效],mid,missing,000505_SZ_京粮控股.md
000506,SZ,招金黄金,+58.13%,high,盈,low,,missing,控股股东变更+资源储量重估,high,[控股股东变更+资源储量重估],mid,missing,000506_SZ_招金黄金.md
000509,SZ,华塑控股,-26.83%,high,,missing,-110.59%,high,电子信息显示终端业务营收下滑,high,[电子信息显示终端业务营收下滑],high,missing,000509_SZ_华塑控股.md
000510,SZ,新金路,-18.53%,high,,missing,,missing,氯碱行业产能过剩，需求疲软,high,[氯碱行业产能过剩，需求疲软],mid,missing,000510_SZ_新金路.md
000513,SZ,丽珠集团,+1.51%,high,+1.51%,high,,missing,中药制剂产品高增长,high,[中药制剂产品高增长],mid,missing,000513_SZ_丽珠集团.md
000514,SZ,渝_开_发,+87.34%,mid,盈,low,+150.2%,high,房地产结转规模大幅增加,high,[房地产结转规模大幅增加],mid,low,000514_SZ_渝_开_发.md
000516,SZ,国际医学,,missing,,missing,,missing,DRG/DIP医保支付改革深化,high,[DRG/DIP医保支付改革深化],mid,missing,000516_SZ_国际医学.md
000518,SZ,_ST四环,-6.73%,mid,,missing,↑,low,苗木战略合作大单,high,[苗木战略合作大单],mid,missing,000518_SZ__ST四环.md
000519,SZ,中兵红箭,+76.0%,high,,missing,↑,low,特种装备订单爆发,high,[特种装备订单爆发],mid,missing,000519_SZ_中兵红箭.md
000523,SZ,红棉股份,-4.86%,high,-84.73%,high,,missing,收购亚洲食品并获表决权委托,high,[收购亚洲食品并获表决权委托],mid,missing,000523_SZ_红棉股份.md
000524,SZ,岭南控股,+4.52%,high,+1.66%,high,,missing,出境游强劲复苏,high,[非经常性收益消失],mid,missing,000524_SZ_岭南控股.md
000530,SZ,冰山冷热,,missing,+28.44%,high,,missing,出售国泰君安股份,high,[出售国泰君安股份],mid,missing,000530_SZ_冰山冷热.md
000531,SZ,穗恒运Ａ,,missing,,missing,,missing,投资收益大幅增长,high,[投资收益大幅增长],mid,missing,000531_SZ_穗恒运Ａ.md
000533,SZ,顺钠股份,+4.69%,mid,,missing,+145.81%,high,国内“两网”投资创新高 & 新能源装机持,high,[国内“两网”投资创新高 & 新能源装机持续增长],mid,missing,000533_SZ_顺钠股份.md
000534,SZ,万泽股份,+20.86%,high,,missing,,missing,,missing,微生态活菌药品（金双歧、定君生）高毛利与稳定增长,mid,missing,000534_SZ_万泽股份.md
000538,SZ,云南白药,+12.53%,high,,missing,,missing,核心产品放量,high,[品牌壁垒与品类延伸],mid,missing,000538_SZ_云南白药.md
000539,SZ,粤电力Ａ,-9.83%,high,-37.78%,high,,missing,上网电价同比大幅下降11.60%,high,[上网电价同比大幅下降11.60%],mid,missing,000539_SZ_粤电力Ａ.md
000541,SZ,佛山照明,+5.63%,high,-51.85%,high,↓,low,行业竞争加剧与需求疲软,high,[行业竞争加剧与需求疲软],mid,low,000541_SZ_佛山照明.md
000543,SZ,皖能电力,,missing,,missing,↓,low,,missing,,missing,missing,000543_SZ_皖能电力.md
000544,SZ,中原环保,,missing,,missing,,missing,,missing,国家双碳战略与美丽中国建设推动,mid,missing,000544_SZ_中原环保.md
000548,SZ,湖南投资,,missing,-48.33%,high,,missing,城市综合体项目收入锐减,high,[城市综合体项目收入锐减],mid,missing,000548_SZ_湖南投资.md
000550,SZ,江铃汽车,,missing,-22.75%,high,,missing,销量增长但利润下滑,high,[销量增长但利润下滑],high,missing,000550_SZ_江铃汽车.md
000551,SZ,创元科技,-7.94%,high,,missing,,missing,国家电网“十五五”4万亿投资,high,[国家电网“十五五”4万亿投资],mid,missing,000551_SZ_创元科技.md
000553,SZ,安道麦A,,missing,,missing,,missing,渠道库存恢复正常,high,[渠道库存恢复正常],mid,missing,000553_SZ_安道麦A.md
000555,SZ,神州信息,+31.59%,high,盈,low,,missing,政企系统集成业务爆发,high,[政企系统集成业务爆发],mid,missing,000555_SZ_神州信息.md
000558,SZ,天府文旅,+30.0%,high,,missing,,missing,,missing,影视业务收入爆发式增长,mid,missing,000558_SZ_天府文旅.md
000560,SZ,我爱我家,,missing,亏,low,,missing,二手房价格持续下跌,high,[二手房价格持续下跌],mid,missing,000560_SZ_我爱我家.md
000563,SZ,陕国投Ａ,+0.85%,high,,missing,,missing,信托业务结构优化,high,[信托业务结构优化],mid,missing,000563_SZ_陕国投Ａ.md
000565,SZ,渝三峡Ａ,+73.32%,high,,missing,,missing,并购蔚蓝时代,high,[减持北陆药业股票],mid,missing,000565_SZ_渝三峡Ａ.md
000566,SZ,海南海药,+23.33%,mid,,missing,,missing,核心产品头孢制剂集采丢量,high,[核心产品头孢制剂集采丢量],mid,missing,000566_SZ_海南海药.md
000570,SZ,苏常柴Ａ,+26.26%,high,+174.86%,high,↑,low,非经常性损益（资产处置+政府补助）,high,[非经常性损益（资产处置+政府补助）],mid,low,000570_SZ_苏常柴Ａ.md
000572,SZ,海马汽车,,missing,,missing,-80.0%,high,海外出口依赖,high,[资产减值与信用损失],high,missing,000572_SZ_海马汽车.md
000573,SZ,粤宏远Ａ,,missing,+243.85%,high,,missing,转让煤矿股权,high,[再生铅业务毛利率极低],mid,missing,000573_SZ_粤宏远Ａ.md
000576,SZ,甘化科工,+27.55%,high,,missing,,missing,,missing,国家“十四五”收官年，武器装备更新换代加速,mid,missing,000576_SZ_甘化科工.md
000581,SZ,威孚高科,+15.17%,mid,-57.71%,high,+30.0%,high,,missing,联营企业（博世动力总成、中联电子）贡献巨额投资收益,mid,missing,000581_SZ_威孚高科.md
000582,SZ,北部湾港,+8.88%,mid,+6.02%,high,,missing,西部陆海新通道建设,high,[西部陆海新通道建设],mid,missing,000582_SZ_北部湾港.md
000586,SZ,汇源通信,+34.86%,high,,missing,,missing,,missing,电网投资高景气** ->,mid,missing,000586_SZ_汇源通信.md
000589,SZ,贵州轮胎,+13.59%,mid,,missing,,missing,越南基地产能释放,high,[越南基地产能释放],mid,missing,000589_SZ_贵州轮胎.md
000590,SZ,古汉医药,+1.61%,high,-1.61%,mid,,missing,,missing,,missing,missing,000590_SZ_古汉医药.md
000591,SZ,太阳能,-17.1%,mid,,missing,↑,low,电力市场化改革深化，电价下行,high,[电力市场化改革深化，电价下行],mid,missing,000591_SZ_太阳能.md
000592,SZ,平潭发展,-15.57%,mid,,missing,,missing,与恒大地产合作的地产项目暴雷,high,[与恒大地产合作的地产项目暴雷],mid,missing,000592_SZ_平潭发展.md
000593,SZ,德龙汇能,+38.45%,mid,-13.89%,mid,,missing,城市燃气主业稳健,high,[城市燃气主业稳健],mid,missing,000593_SZ_德龙汇能.md
000595,SZ,_ST宝实,+35.9%,mid,盈,low,+221.1%,high,重大资产重组完成，主业切换,high,[重大资产重组完成，主业切换],mid,low,000595_SZ__ST宝实.md
000597,SZ,东北制药,+45.81%,mid,-46.28%,high,↑,low,集采降价与行业竞争加剧,high,[集采降价与行业竞争加剧],mid,low,000597_SZ_东北制药.md
000601,SZ,韶能股份,+42.87%,mid,,missing,,missing,,missing,生物质能发电量同比大增（+82%）,mid,missing,000601_SZ_韶能股份.md
000607,SZ,华媒控股,-12.88%,high,,missing,,missing,传统媒体广告收入下滑,high,[传统媒体广告收入下滑],high,missing,000607_SZ_华媒控股.md
000608,SZ,_ST阳光,,missing,,missing,,missing,投资性房地产公允价值下降,high,[投资性房地产公允价值下降],mid,missing,000608_SZ__ST阳光.md
000609,SZ,_ST中迪,,missing,,missing,,missing,房地产项目交付量下降,high,[房地产项目交付量下降],mid,missing,000609_SZ__ST中迪.md
000610,SZ,_ST西旅,+18.36%,mid,,missing,,missing,行业“量升价跌”,high,[行业“量升价跌”],mid,missing,000610_SZ__ST西旅.md
000612,SZ,焦作万方,,missing,,missing,,missing,氧化铝及电力成本大幅下降,high,[氧化铝及电力成本大幅下降],mid,missing,000612_SZ_焦作万方.md
000615,SZ,_ST美谷,-9.79%,high,-10.0%,mid,,missing,司法重整成功,high,[剥离生物基纤维亏损资产],high,missing,000615_SZ__ST美谷.md
000617,SZ,中油资本,+3.9%,mid,,missing,,missing,降息周期与息差收窄,high,[降息周期与息差收窄],mid,missing,000617_SZ_中油资本.md
000619,SZ,海螺新材,,missing,,missing,,missing,房地产下行拖累核心主业,high,[房地产下行拖累核心主业],mid,missing,000619_SZ_海螺新材.md
000623,SZ,吉林敖东,-11.29%,mid,-11.29%,high,,missing,广发证券投资收益大幅增长,high,[广发证券投资收益大幅增长],mid,missing,000623_SZ_吉林敖东.md
000625,SZ,长安汽车,,missing,-44.34%,high,,missing,新能源销量爆发式增长,high,[新能源销量爆发式增长],mid,missing,000625_SZ_长安汽车.md
000626,SZ,远大控股,+12.58%,mid,,missing,↓,low,传统贸易毛利微薄,high,[传统贸易毛利微薄],mid,missing,000626_SZ_远大控股.md
000629,SZ,钒钛股份,-7.2%,mid,-7.2%,mid,,missing,钒钛产品价格大幅下跌,high,[钒钛产品价格大幅下跌],mid,missing,000629_SZ_钒钛股份.md
000630,SZ,铜陵有色,+18.69%,high,-14.02%,high,↓,low,铜价高位运行,high,[铜精矿加工费跌至历史低位],mid,low,000630_SZ_铜陵有色.md
000631,SZ,顺发恒能,-13.71%,mid,,missing,,missing,收购顺发德能（天然气发电）,high,[收购顺发德能（天然气发电）],mid,missing,000631_SZ_顺发恒能.md
000633,SZ,合金投资,+32.6%,mid,-35.16%,high,,missing,新能源运输业务扩张,high,[新能源运输业务扩张],mid,missing,000633_SZ_合金投资.md
000635,SZ,英_力_特,,missing,,missing,,missing,主营产品价格持续低迷,high,[主营产品价格持续低迷],mid,missing,000635_SZ_英_力_特.md
000650,SZ,仁和药业,,missing,-18.41%,high,+52.77%,high,营业收入下滑13.21%,high,[营业收入下滑13.21%],high,missing,000650_SZ_仁和药业.md
000652,SZ,泰达股份,,missing,亏,low,,missing,能源贸易毛利率极低,high,[能源贸易毛利率极低],mid,missing,000652_SZ_泰达股份.md
000655,SZ,金岭矿业,+7.64%,high,,missing,,missing,,missing,铁精粉销量同比增加12.16%,mid,missing,000655_SZ_金岭矿业.md
000659,SZ,珠海中富,-66.98%,high,,missing,,missing,营收下滑与客户集中,high,[营收下滑与客户集中],high,missing,000659_SZ_珠海中富.md
000661,SZ,长春高新,-10.27%,high,-94.0%,high,,missing,核心产品纳入医保并降价,high,[核心产品纳入医保并降价],mid,missing,000661_SZ_长春高新.md
000665,SZ,湖北广电,+122.0%,mid,,missing,,missing,传统业务收入持续下滑,high,[传统业务收入持续下滑],high,missing,000665_SZ_湖北广电.md
000668,SZ,_ST荣控,,missing,盈,low,,missing,降价促销去化存量房产,high,[降价促销去化存量房产],mid,missing,000668_SZ__ST荣控.md
000670,SZ,盈方微,+16.34%,mid,,missing,,missing,收入增长但利润亏损,high,[收入增长但利润亏损],high,missing,000670_SZ_盈方微.md
000679,SZ,大连友谊,+13.09%,high,,missing,,missing,新零售业务扩张,high,[线上推广费用激增],mid,missing,000679_SZ_大连友谊.md
000680,SZ,山推股份,+17.94%,mid,,missing,+51.64%,high,海外市场高增长,high,[集团“黄金产业链”协同],mid,missing,000680_SZ_山推股份.md
000681,SZ,视觉中国,+18.0%,mid,,missing,,missing,宏观经济承压，广告客户缩减预算,high,[宏观经济承压，广告客户缩减预算],mid,missing,000681_SZ_视觉中国.md
000682,SZ,东方电子,+11.04%,high,-69.52%,high,,missing,“十五五”电网投资高景气,high,[“十五五”电网投资高景气],mid,missing,000682_SZ_东方电子.md
000683,SZ,博源化工,-11.42%,high,-48.0%,high,,missing,纯碱、小苏打价格下跌,high,[纯碱、小苏打价格下跌],mid,missing,000683_SZ_博源化工.md
000685,SZ,中山公用,+27.36%,mid,+56.77%,high,,missing,收购小榄水务、中部垃圾发电等资产,high,[收购小榄水务、中部垃圾发电等资产],mid,missing,000685_SZ_中山公用.md
000686,SZ,东北证券,+103.65%,mid,,missing,,missing,市场交投活跃度提升,high,[市场交投活跃度提升],mid,missing,000686_SZ_东北证券.md
000688,SZ,国城矿业,,missing,+138.0%,high,,missing,收购国城实业60%股权,high,[收购国城实业60%股权],mid,missing,000688_SZ_国城矿业.md
000690,SZ,宝新能源,+9.23%,high,+45.21%,high,,missing,煤炭价格中枢下行,high,[煤炭价格中枢下行],mid,missing,000690_SZ_宝新能源.md
000691,SZ,_ST亚太,+17.61%,high,,missing,,missing,破产重整成功,high,[重整投资人现金注入],mid,missing,000691_SZ__ST亚太.md
000695,SZ,滨海能源,+46.0%,high,,missing,,missing,产能快速扩张与下游需求增长,high,[产能快速扩张与下游需求增长],mid,missing,000695_SZ_滨海能源.md
000697,SZ,炼石航空,+7.08%,high,,missing,↑,low,核心客户空客订单增长,high,[核心客户空客订单增长],mid,missing,000697_SZ_炼石航空.md
000698,SZ,ST沈化,,missing,盈,low,,missing,东大泉州24万吨聚醚项目投产,high,[东大泉州24万吨聚醚项目投产],mid,missing,000698_SZ_ST沈化.md
000701,SZ,厦门信达,+7.21%,high,盈,low,,missing,剥离亏损汽车经销业务,high,[剥离亏损汽车经销业务],high,missing,000701_SZ_厦门信达.md
000702,SZ,正虹科技,+37.59%,mid,,missing,↓,low,主动压缩生猪养殖规模,high,[主动压缩生猪养殖规模],mid,missing,000702_SZ_正虹科技.md
000703,SZ,恒逸石化,-9.51%,high,+596.59%,high,,missing,文莱炼化项目区位优势,high,[文莱炼化项目区位优势],mid,missing,000703_SZ_恒逸石化.md
000708,SZ,中信特钢,,missing,+15.67%,high,,missing,原料成本下行,high,[高端产品结构优化],mid,missing,000708_SZ_中信特钢.md
000715,SZ,中兴商业,-2.26%,high,-2.26%,mid,,missing,费用管控优化,high,[投资收益与公允价值变动],mid,missing,000715_SZ_中兴商业.md
000717,SZ,中南股份,+371.77%,mid,,missing,+14.62%,high,行业需求萎缩,high,,missing,missing,000717_SZ_中南股份.md
000719,SZ,中原传媒,+33.57%,mid,+33.57%,high,,missing,教材教辅独家发行资质,high,[教材教辅独家发行资质],mid,missing,000719_SZ_中原传媒.md
000721,SZ,西安饮食,+28.72%,mid,,missing,,missing,餐饮主业收入下滑,high,[餐饮主业收入下滑],high,missing,000721_SZ_西安饮食.md
000722,SZ,湖南发展,+63.51%,mid,,missing,+33.34%,high,2025年湖南省来水严重偏枯,high,[2025年湖南省来水严重偏枯],mid,missing,000722_SZ_湖南发展.md
000723,SZ,美锦能源,,missing,,missing,+63.63%,high,焦炭产能扩张与价格下行,high,[焦炭产能扩张与价格下行],mid,missing,000723_SZ_美锦能源.md
000725,SZ,京东方Ａ,+15.14%,high,,missing,,missing,LCD/OLED出货量全球第一,high,[LCD/OLED出货量全球第一],mid,missing,000725_SZ_京东方Ａ.md
000726,SZ,鲁__泰Ａ,+11.58%,mid,+44.66%,high,,missing,金融资产投资收益,high,[金融资产投资收益],mid,missing,000726_SZ_鲁__泰Ａ.md
000729,SZ,燕京啤酒,+52.02%,high,+59.06%,high,,missing,燕京U8大单品持续放量,high,[燕京U8大单品持续放量],mid,missing,000729_SZ_燕京啤酒.md
000735,SZ,罗_牛_山,,missing,-36.39%,high,+35.9%,high,猪周期下行，猪价中枢下移,high,[猪周期下行，猪价中枢下移],mid,missing,000735_SZ_罗_牛_山.md
000736,SZ,_ST中地,+43.37%,high,,missing,,missing,重大资产重组（置出房地产开发业务）,high,[重大资产重组（置出房地产开发业务）],mid,missing,000736_SZ__ST中地.md
000737,SZ,北方铜业,+15.8%,high,+29.01%,high,,missing,铜价创历史新高,high,[铜精矿加工费跌至负值],mid,missing,000737_SZ_北方铜业.md
000738,SZ,航发控制,-5.64%,high,-55.43%,high,↑,low,产品价税改革,high,[研发投入资本化率为零],mid,low,000738_SZ_航发控制.md
000739,SZ,普洛药业,+16.66%,mid,-21.86%,high,,missing,原料药中间体业务量价齐跌,high,[原料药中间体业务量价齐跌],mid,missing,000739_SZ_普洛药业.md
000750,SZ,国海证券,+33.58%,mid,+79.57%,high,,missing,市场交投活跃度提升,high,[市场交投活跃度提升],mid,missing,000750_SZ_国海证券.md
000751,SZ,锌业股份,+18.76%,high,,missing,,missing,贵金属及硫酸价格高企,high,[贵金属及硫酸价格高企],mid,missing,000751_SZ_锌业股份.md
000753,SZ,漳州发展,,missing,+21.69%,high,↑,low,收购信产集团与人才集团,high,[收购信产集团与人才集团],mid,missing,000753_SZ_漳州发展.md
000755,SZ,山西高速,,missing,,missing,,missing,核心路产区位优势,high,[核心路产区位优势],mid,missing,000755_SZ_山西高速.md
000757,SZ,浩物股份,-22.31%,high,盈,low,,missing,汽车销售业务关停低效门店,high,[汽车销售业务关停低效门店],mid,missing,000757_SZ_浩物股份.md
000759,SZ,中百集团,+26.72%,mid,,missing,-76.42%,high,大规模闭店止损,high,[闭店产生巨额一次性损失],mid,missing,000759_SZ_中百集团.md
000761,SZ,本钢板材,-9.51%,high,,missing,↓,low,行业需求萎缩与价格下行,high,[行业需求萎缩与价格下行],mid,missing,000761_SZ_本钢板材.md
000762,SZ,西藏矿业,,missing,,missing,-39.6%,high,锂产品价格与销量双降,high,[锂产品价格与销量双降],mid,missing,000762_SZ_西藏矿业.md
000766,SZ,通化金马,-39.25%,high,-39.25%,high,,missing,核心产品营收下滑,high,[核心产品营收下滑],high,missing,000766_SZ_通化金马.md
000767,SZ,晋控电力,+13.17%,mid,盈,low,,missing,煤价低位运行,high,核心风险在于盈利对煤价的单向依赖与火电转型压力,high,missing,000767_SZ_晋控电力.md
000768,SZ,中航西飞,+25.0%,mid,,missing,,missing,民用航空产业高速发展,high,[民用航空产业高速发展],mid,missing,000768_SZ_中航西飞.md
